
1491400802
PING 104.16.62.3 (104.16.62.3) 56(84) bytes of data.
64 bytes from 104.16.62.3: icmp_seq=63 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=64 ttl=53 time=6.43 ms
64 bytes from 104.16.62.3: icmp_seq=65 ttl=53 time=6.39 ms
64 bytes from 104.16.62.3: icmp_seq=66 ttl=53 time=6.43 ms
64 bytes from 104.16.62.3: icmp_seq=67 ttl=53 time=6.44 ms
64 bytes from 104.16.62.3: icmp_seq=68 ttl=53 time=6.39 ms
64 bytes from 104.16.62.3: icmp_seq=69 ttl=53 time=6.39 ms
64 bytes from 104.16.62.3: icmp_seq=70 ttl=53 time=6.44 ms
64 bytes from 104.16.62.3: icmp_seq=71 ttl=53 time=6.39 ms
64 bytes from 104.16.62.3: icmp_seq=72 ttl=53 time=6.43 ms
64 bytes from 104.16.62.3: icmp_seq=73 ttl=53 time=6.39 ms
64 bytes from 104.16.62.3: icmp_seq=74 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=75 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=76 ttl=53 time=6.60 ms
64 bytes from 104.16.62.3: icmp_seq=77 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=78 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=79 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=80 ttl=53 time=6.39 ms
64 bytes from 104.16.62.3: icmp_seq=81 ttl=53 time=6.39 ms
64 bytes from 104.16.62.3: icmp_seq=82 ttl=53 time=6.41 ms
64 bytes from 104.16.62.3: icmp_seq=83 ttl=53 time=6.41 ms
64 bytes from 104.16.62.3: icmp_seq=84 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=85 ttl=53 time=6.44 ms
64 bytes from 104.16.62.3: icmp_seq=86 ttl=53 time=6.41 ms
64 bytes from 104.16.62.3: icmp_seq=87 ttl=53 time=6.43 ms
64 bytes from 104.16.62.3: icmp_seq=88 ttl=53 time=6.43 ms
64 bytes from 104.16.62.3: icmp_seq=89 ttl=53 time=6.39 ms
64 bytes from 104.16.62.3: icmp_seq=90 ttl=53 time=6.38 ms
64 bytes from 104.16.62.3: icmp_seq=91 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=92 ttl=53 time=6.45 ms
64 bytes from 104.16.62.3: icmp_seq=93 ttl=53 time=6.39 ms
64 bytes from 104.16.62.3: icmp_seq=94 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=95 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=96 ttl=53 time=6.46 ms
64 bytes from 104.16.62.3: icmp_seq=97 ttl=53 time=6.58 ms
64 bytes from 104.16.62.3: icmp_seq=98 ttl=53 time=6.48 ms
64 bytes from 104.16.62.3: icmp_seq=99 ttl=53 time=6.49 ms
64 bytes from 104.16.62.3: icmp_seq=100 ttl=53 time=6.45 ms
64 bytes from 104.16.62.3: icmp_seq=101 ttl=53 time=6.51 ms
64 bytes from 104.16.62.3: icmp_seq=102 ttl=53 time=6.43 ms
64 bytes from 104.16.62.3: icmp_seq=103 ttl=53 time=6.69 ms
64 bytes from 104.16.62.3: icmp_seq=104 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=105 ttl=53 time=6.46 ms
64 bytes from 104.16.62.3: icmp_seq=106 ttl=53 time=6.38 ms
64 bytes from 104.16.62.3: icmp_seq=107 ttl=53 time=6.37 ms
64 bytes from 104.16.62.3: icmp_seq=108 ttl=53 time=6.41 ms
64 bytes from 104.16.62.3: icmp_seq=109 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=110 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=111 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=112 ttl=53 time=6.41 ms
64 bytes from 104.16.62.3: icmp_seq=113 ttl=53 time=6.46 ms
64 bytes from 104.16.62.3: icmp_seq=114 ttl=53 time=6.45 ms
64 bytes from 104.16.62.3: icmp_seq=115 ttl=53 time=6.41 ms
64 bytes from 104.16.62.3: icmp_seq=116 ttl=53 time=6.39 ms
64 bytes from 104.16.62.3: icmp_seq=117 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=118 ttl=53 time=6.44 ms
64 bytes from 104.16.62.3: icmp_seq=119 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=120 ttl=53 time=6.39 ms

--- 104.16.62.3 ping statistics ---
120 packets transmitted, 120 received, 0% packet loss, time 119158ms
rtt min/avg/max/mdev = 6.379/6.433/6.916/0.107 ms

1491422402
PING 104.16.62.3 (104.16.62.3) 56(84) bytes of data.
64 bytes from 104.16.62.3: icmp_seq=1 ttl=53 time=82.7 ms
64 bytes from 104.16.62.3: icmp_seq=2 ttl=53 time=85.9 ms
64 bytes from 104.16.62.3: icmp_seq=3 ttl=53 time=83.5 ms
64 bytes from 104.16.62.3: icmp_seq=4 ttl=53 time=81.8 ms
