
1491400802
PING 202.181.132.41 (202.181.132.41) 56(84) bytes of data.
64 bytes from 202.181.132.41: icmp_seq=112 ttl=112 time=257 ms
64 bytes from 202.181.132.41: icmp_seq=113 ttl=112 time=256 ms
64 bytes from 202.181.132.41: icmp_seq=114 ttl=112 time=256 ms
64 bytes from 202.181.132.41: icmp_seq=115 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=116 ttl=112 time=257 ms
64 bytes from 202.181.132.41: icmp_seq=117 ttl=112 time=257 ms
64 bytes from 202.181.132.41: icmp_seq=118 ttl=112 time=256 ms
64 bytes from 202.181.132.41: icmp_seq=119 ttl=112 time=256 ms
64 bytes from 202.181.132.41: icmp_seq=120 ttl=112 time=255 ms

--- 202.181.132.41 ping statistics ---
120 packets transmitted, 120 received, 0% packet loss, time 119024ms
rtt min/avg/max/mdev = 255.464/256.611/258.256/0.530 ms

1491422402
PING 202.181.132.41 (202.181.132.41) 56(84) bytes of data.
64 bytes from 202.181.132.41: icmp_seq=1 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=2 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=3 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=4 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=5 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=6 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=7 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=8 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=9 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=10 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=11 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=12 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=13 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=14 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=15 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=16 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=17 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=18 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=19 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=20 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=21 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=22 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=23 ttl=112 time=255 ms
64 bytes from 202.181.132.41: icmp_seq=24 ttl=112 time=255 ms
